Veh 1 normal speed,Veh 1 max speed,Veh 1 min speed,Veh 1 color threshold,Veh 1 distance threshold 1,Veh 1 distance threshold 2,Veh 2 normal speed,Veh 2 max speed,Veh 2 min speed,Veh 2 color threshold,Veh 2 distance threshold 1,Veh 2 distance threshold 2,,,,,,,,,
90,130,80,37,500,600,90,165,80,40,300,330,,,,,,,,,
 Veh 1 color, Veh 1 distance, Veh 1 speed,Veh 1 stop, Veh 1 step, Veh 1 deviation, Veh 1 integral, Veh 1 derivative,Veh 2 color,Veh 2  distance,Veh 2  speed,Veh 2 stop,Veh 2  step,Veh 2  deviation,Veh 2  integral,Veh 2  derivative,Veh 2  frontID,Veh 2  frontTime,Veh 2  frontStep,Veh 2  frontSpeed,Veh 2  frontDistance
12,1210,116.5,0,0,-25.5,-25.5,-3,71,2550,109.3955625,0,0,31,31,-6,1,7448,0,115,1219
78,1183,117,0,0,40.5,0,66,66,1271,114.8653406,0,0,26,57,-5,1,7598,0,115.5,1219
75,1164,117.5,0,0,37.5,37.5,-3,66,1702,120.6086077,0,0,26,83,0,1,7877,0,116.5,1210
52,1162,118,0,0,14.5,52,-23,65,1162,126.639038,0,0,25,108,-1,1,7877,0,116.5,1183
82,1148,118.5,0,0,44.5,96.5,30,66,1201,90,0,0,26,134,1,1,8028,0,117,1164
83,1138,119,0,0,45.5,142,1,66,1196,90,0,0,26,160,0,1,8178,0,117.5,1162
78,1817,119.5,0,0,40.5,182.5,-5,69,1202,90,0,0,29,189,3,1,8317,0,118,1148
79,1799,120,0,0,41.5,224,1,40,1254,90,0,0,0,0,-29,1,8600,0,119,1138
68,1779,120.5,0,0,30.5,254.5,-11,5,2550,94.5,0,0,-35,-35,-35,1,8600,0,119,1817
6,1756,121,0,0,-31.5,0,-62,4,2550,99.225,0,0,-36,-71,-1,1,8871,0,120,1779
5,1741,121.5,0,0,-32.5,-32.5,-1,27,1237,104.18625,0,0,-13,-84,23,1,9012,0,120,1779
49,1726,122,0,0,11.5,0,44,71,2550,109.3955625,0,0,31,0,44,1,9012,0,120.5,1756
66,1714,122.5,0,0,28.5,28.5,17,77,1227,114.8653406,0,0,37,37,6,1,9159,0,121,1741
53,1687,123,0,0,15.5,44,-13,17,1271,120.6086077,0,0,-23,0,-60,1,9297,0,121.5,1726
62,1666,123.5,0,0,24.5,68.5,9,13,2354,126.639038,0,0,-27,-27,-4,1,9618,0,122,1714
78,1649,124,0,0,40.5,109,16,32,2550,132.9709899,0,0,-8,0,19,1,9618,0,122.5,1687
78,1633,124.5,0,0,40.5,149.5,0,59,2550,139.6195394,0,0,19,0,27,1,9771,0,123,1666
67,1619,125,0,0,29.5,179,-11,61,2271,146.6005164,0,0,21,21,2,1,9921,0,123.5,1649
52,1611,125.5,0,0,14.5,193.5,-15,49,2253,153.9305422,0,0,9,0,-12,1,10208,0,124,1633
47,1607,126,0,0,9.5,0,-5,26,2238,161.6270693,0,0,-14,0,-23,1,10208,0,124.5,1619
77,1607,126.5,0,0,39.5,39.5,30,25,1227,165,0,0,-15,-15,-1,1,10492,0,125.5,1607
78,2550,127,0,0,40.5,80,1,59,2550,165,0,0,19,0,34,1,10637,0,126,1607
70,2550,127.5,0,0,32.5,112.5,-8,65,2265,165,0,0,25,25,6,1,10778,0,126.5,2550
43,2550,128,0,0,5.5,0,-27,57,1155,165,0,0,17,42,-8,1,10778,0,126.5,2550
27,2550,128.5,0,0,-10.5,0,-16,26,1179,165,0,0,-14,0,-31,1,11078,0,127,2550
61,2550,129,0,0,23.5,0,34,8,1119,165,0,0,-32,-32,-18,1,11078,0,127.5,2550
72,2550,129.5,0,0,34.5,34.5,11,29,2290,165,0,0,-11,-43,21,1,11229,0,128,2550
53,2550,130,0,0,15.5,50,-19,71,2116,165,0,0,31,0,42,1,11362,0,128.5,2550
15,2550,130,0,0,-22.5,0,-38,67,2550,165,0,0,27,27,-4,1,11644,0,129.5,2550
16,2550,130,0,0,-21.5,-21.5,1,7,2100,165,0,0,-33,0,-60,1,11791,0,130,2550
73,2550,130,0,0,35.5,0,57,5,1031,165,0,0,-35,-35,-2,1,11937,0,130,2550
70,2550,130,0,0,32.5,32.5,-3,5,2550,165,0,0,-35,-70,0,1,12068,0,130,2550
6,2550,130,0,0,-31.5,0,-64,54,2108,165,0,0,14,0,49,1,12228,0,130,2550
5,2550,130,0,0,-32.5,-32.5,-1,72,2550,165,0,0,32,32,18,1,12380,0,130,2550
64,2550,130,0,0,26.5,0,59,75,2550,165,0,0,35,67,3,1,12528,0,130,2550
73,2550,130,0,0,35.5,35.5,9,45,2550,165,0,0,5,0,-30,1,12678,0,130,2550
26,2550,130,0,0,-11.5,0,-47,5,970,165,0,0,-35,0,-40,1,12818,0,130,2550
6,2550,130,0,0,-31.5,-31.5,-20,5,2550,165,0,0,-35,-35,0,1,12967,0,130,2550
16,2550,130,0,0,-21.5,-53,10,15,2550,165,0,0,-25,-60,10,1,12967,0,130,2550
60,2550,130,0,0,22.5,0,44,65,1808,165,0,0,25,0,50,1,13249,0,130,2550
71,2550,130,0,0,33.5,33.5,11,71,1762,165,0,0,31,31,6,1,13391,0,130,2550
13,2550,130,0,0,-24.5,0,-58,64,1722,165,0,0,24,55,-7,1,13391,0,130,2550
7,2550,130,0,0,-30.5,-30.5,-6,38,1694,165,0,0,-2,0,-26,1,13678,0,130,2550
71,2550,130,0,0,33.5,0,64,9,1679,165,0,0,-31,-31,-29,1,13678,0,130,2550
77,2550,130,0,0,39.5,39.5,6,14,1650,165,0,0,-26,-57,5,1,13829,0,130,2550
22,2550,130,0,0,-15.5,0,-55,65,1611,165,0,0,25,0,51,1,13981,0,130,2550
14,1797,130,0,0,-23.5,-23.5,-8,67,1603,165,0,0,27,27,2,1,14121,0,130,2550
62,2370,130,0,0,24.5,0,48,62,1564,165,0,0,22,49,-5,1,14261,0,130,2550
68,1825,130,0,0,30.5,30.5,6,28,1536,165,0,0,-12,0,-34,1,14410,0,130,1797
20,1783,130,0,0,-17.5,0,-48,8,1519,165,0,0,-32,-32,-20,1,14551,0,130,2370
5,1732,130,0,0,-32.5,-32.5,-15,34,1472,165,0,0,-6,0,26,1,14710,0,130,1825
56,1723,130,0,0,18.5,0,51,64,1456,165,0,0,24,0,30,1,14852,0,130,1783
69,2390,130,0,0,31.5,31.5,13,64,1435,165,0,0,24,24,0,1,15147,0,130,1732
18,1665,130,0,0,-19.5,0,-51,46,1418,165,0,0,6,0,-18,1,15147,0,130,1723
6,1641,130,0,0,-31.5,-31.5,-12,29,1387,165,0,0,-11,0,-17,1,15297,0,130,2390
41,1640,130,0,0,3.5,0,35,21,1385,165,0,0,-19,-19,-8,1,15439,0,130,1665
68,1678,130,0,0,30.5,30.5,27,53,1385,165,0,0,13,0,32,1,15579,0,130,1641
33,1616,130,0,0,-4.5,0,-35,71,1326,165,0,0,31,31,18,1,15728,0,130,1640
5,1572,130,0,0,-32.5,-32.5,-28,70,1326,165,0,0,30,61,-1,1,16007,0,130,1678
29,1558,130,0,0,-8.5,0,24,72,1326,165,0,0,32,93,2,1,16007,0,130,1616
