Veh 1 normal speed,Veh 1 max speed,Veh 1 min speed,Veh 1 color threshold,Veh 1 distance threshold 1,Veh 1 distance threshold 2,Veh 2 normal speed,Veh 2 max speed,Veh 2 min speed,Veh 2 color threshold,Veh 2 distance threshold 1,Veh 2 distance threshold 2,,,,,,,,,
90,130,80,37,500,600,90,165,80,40,300,330,,,,,,,,,
 Veh 1 color, Veh 1 distance, Veh 1 speed,Veh 1 stop, Veh 1 step, Veh 1 deviation, Veh 1 integral, Veh 1 derivative,Veh 2 color,Veh 2  distance,Veh 2  speed,Veh 2 stop,Veh 2  step,Veh 2  deviation,Veh 2  integral,Veh 2  derivative,Veh 2  frontID,Veh 2  frontTime,Veh 2  frontStep,Veh 2  frontSpeed,Veh 2  frontDistance
55,2550,115.5,0,0,17.5,17.5,-6,72,2550,90,0,0,32,0,67,1,30868,0,114.5,2550
10,2550,116,0,0,-27.5,0,-45,75,1848,94.5,0,0,35,35,3,1,30868,0,115,2550
9,2550,116.5,0,0,-28.5,-28.5,-1,79,2550,99.225,0,0,39,74,4,1,31017,0,115,2550
74,2550,117,0,0,36.5,0,65,80,1746,104.18625,0,0,40,114,1,1,31319,0,116,2550
76,2550,117.5,0,0,38.5,38.5,2,82,2550,90,0,0,42,156,2,1,31460,0,116.5,2550
6,2550,118,0,0,-31.5,0,-70,82,2550,90,0,0,42,198,0,1,31597,0,117,2550
5,2550,118.5,0,0,-32.5,-32.5,-1,82,864,90,0,0,42,240,0,1,31754,0,117.5,2550
75,2550,119,0,0,37.5,0,70,82,864,90,0,0,42,282,0,1,31922,0,117.5,2550
77,2550,119.5,0,0,39.5,39.5,2,81,864,90,0,0,41,323,-1,1,31922,0,118,2550
30,2550,120,0,0,-7.5,0,-47,68,758,90,0,0,28,351,-13,1,32197,0,119,2550
14,2550,120.5,0,0,-23.5,-23.5,-16,6,658,90,0,0,-34,0,-62,1,32348,0,119.5,2550
63,2550,121,0,0,25.5,0,49,5,654,94.5,0,0,-35,-35,-1,1,32492,0,120,2550
74,1824,121.5,0,0,36.5,36.5,11,4,639,99.225,0,0,-36,-71,-1,1,32632,0,120.5,2550
29,2550,122,0,0,-8.5,0,-45,5,660,104.18625,0,0,-35,-106,1,1,32780,0,121,1824
5,2550,122.5,0,0,-32.5,-32.5,-24,56,670,90,0,0,16,0,51,1,32927,0,121.5,2550
29,2550,123,0,0,-8.5,0,24,67,714,94.5,0,0,27,27,11,1,33068,0,122,2550
70,1786,123.5,0,0,32.5,0,41,67,714,99.225,0,0,27,54,0,1,33212,0,122.5,2550
38,1764,124,0,0,0.5,0,-32,65,714,104.18625,0,0,25,79,-2,1,33358,0,123,1786
5,1764,124.5,0,0,-32.5,0,-33,59,689,109.3955625,0,0,19,98,-6,1,33501,0,123.5,1764
10,2550,125,0,0,-27.5,-27.5,5,44,698,114.8653406,0,0,4,0,-15,1,33781,0,124.5,2550
64,1738,125.5,0,0,26.5,0,54,14,681,120.6086077,0,0,-26,0,-30,1,33925,0,125,1738
74,2550,126,0,0,36.5,36.5,10,22,728,126.639038,0,0,-18,-18,8,1,34067,0,125.5,2550
16,2550,126.5,0,0,-21.5,0,-58,69,693,132.9709899,0,0,29,0,47,1,34218,0,126,2550
5,1680,127,0,0,-32.5,-32.5,-11,83,698,139.6195394,0,0,43,43,14,1,34371,0,126.5,1680
45,1672,127.5,0,0,7.5,0,40,40,742,146.6005164,0,0,0,0,-43,1,34562,0,127,1672
72,1640,128,0,0,34.5,34.5,27,5,726,153.9305422,0,0,-35,-35,-35,1,34701,0,127.5,1640
46,2550,128.5,0,0,8.5,0,-26,5,730,161.6270693,0,0,-35,-70,0,1,34840,0,128,2550
6,2550,129,0,0,-31.5,0,-40,33,689,165,0,0,-7,0,28,1,34990,0,128.5,2550
26,1573,129.5,0,0,-11.5,-11.5,20,68,726,165,0,0,28,0,35,1,35131,0,129,1573
76,1571,130,0,0,38.5,0,50,64,718,165,0,0,24,24,-4,1,35270,0,129.5,1571
54,1572,130,0,0,16.5,16.5,-22,30,689,165,0,0,-10,0,-34,1,35403,0,130,1572
16,2550,130,0,0,-21.5,0,-38,22,704,165,0,0,-18,-18,-8,1,35547,0,130,2550
46,1498,130,0,0,8.5,0,30,66,326,90,0,0,26,0,44,1,35681,0,130,1498
78,1474,130,0,0,40.5,40.5,32,70,693,94.5,0,0,30,30,4,1,35960,0,130,1456
71,1456,130,0,0,33.5,74,-7,66,658,99.225,0,0,26,56,-4,1,36117,0,130,1456
53,1422,130,0,0,15.5,89.5,-18,18,658,104.18625,0,0,-22,0,-48,1,36117,0,130,1422
68,1444,130,0,0,30.5,120,15,5,658,109.3955625,0,0,-35,-35,-13,1,36400,0,130,1444
74,2550,130,0,0,36.5,156.5,6,27,658,114.8653406,0,0,-13,-48,22,1,36538,0,130,2550
70,2550,130,0,0,32.5,189,-4,66,705,120.6086077,0,0,26,0,39,1,36696,0,130,1422
69,1422,130,0,0,31.5,220.5,-1,69,710,126.639038,0,0,29,29,3,1,36696,0,130,1422
63,2550,130,0,0,25.5,246,-6,64,720,132.9709899,0,0,24,53,-5,1,37002,0,130,2550
38,2550,130,0,0,0.5,0,-25,10,710,139.6195394,0,0,-30,0,-54,1,37148,0,130,2550
19,2550,130,0,0,-18.5,0,-19,10,706,146.6005164,0,0,-30,-30,0,1,37289,0,130,2550
76,2550,130,0,0,38.5,0,57,23,712,153.9305422,0,0,-17,-47,13,1,37436,0,130,2550
82,2550,130,0,0,44.5,44.5,6,59,744,161.6270693,0,0,19,0,36,1,37709,0,130,2550
80,2550,130,0,0,42.5,87,-2,70,736,165,0,0,30,30,11,1,37851,0,130,2550
73,2550,130,0,0,35.5,122.5,-7,59,736,165,0,0,19,49,-11,1,37997,0,130,2550
64,2550,130,0,0,26.5,149,-9,22,691,165,0,0,-18,0,-37,1,37997,0,130,2550
48,2550,130,0,0,10.5,159.5,-16,7,680,165,0,0,-33,-33,-15,1,38288,0,130,2550
27,2550,130,0,0,-10.5,0,-21,32,720,165,0,0,-8,0,25,1,38288,0,130,2550
58,2550,130,0,0,20.5,0,31,66,679,165,0,0,26,0,34,1,38427,0,130,2550
78,2550,130,0,0,40.5,40.5,20,57,704,165,0,0,17,17,-9,1,38578,0,130,2550
80,2550,130,0,0,42.5,83,2,15,704,165,0,0,-25,0,-42,1,38711,0,130,2550
79,2550,130,0,0,41.5,124.5,-1,9,693,165,0,0,-31,-31,-6,1,38992,0,130,2550
79,2550,130,0,0,41.5,166,0,50,693,165,0,0,10,0,41,1,38992,0,130,2550
79,2550,130,0,0,41.5,207.5,0,67,693,165,0,0,27,27,17,1,39129,0,130,2550
52,2550,130,0,0,14.5,222,-27,46,693,165,0,0,6,0,-21,1,39281,0,130,2550
19,2550,130,0,0,-18.5,0,-33,8,578,165,0,0,-32,0,-38,1,39427,0,130,2550
52,2550,130,0,0,14.5,0,33,11,672,165,0,0,-29,-29,3,1,39727,0,130,2550
80,2550,130,0,0,42.5,42.5,28,70,2550,165,0,0,30,0,59,1,39872,0,130,2550
80,2550,130,0,0,42.5,85,0,70,2550,165,0,0,30,30,0,1,40047,0,130,2550
75,2550,130,0,0,37.5,122.5,-5,66,2550,165,0,0,26,56,-4,1,40198,0,130,2550
61,2550,130,0,0,23.5,146,-14,47,2550,165,0,0,7,0,-19,1,40198,0,130,2550
37,2550,130,0,0,-0.5,0,-24,11,2167,165,0,0,-29,0,-36,1,40340,0,130,2550
21,2550,130,0,0,-16.5,-16.5,-16,8,2550,165,0,0,-32,-32,-3,1,40478,0,130,2550
54,2550,130,0,0,16.5,0,33,65,2550,165,0,0,25,0,57,1,40627,0,130,2550
75,2550,130,0,0,37.5,37.5,21,79,1557,165,0,0,39,39,14,1,40777,0,130,2550
10,2550,130,0,0,-27.5,0,-65,60,891,165,0,0,20,59,-19,1,40919,0,130,2550
6,2550,130,0,0,-31.5,-31.5,-4,18,2550,165,0,0,-22,0,-42,1,41061,0,130,2550
62,2550,130,0,0,24.5,0,56,35,1503,165,0,0,-5,0,17,1,41209,0,130,2550
54,2550,130,0,0,16.5,16.5,-8,69,2550,165,0,0,29,0,34,1,41357,0,130,2550
15,2550,130,0,0,-22.5,0,-39,67,2550,165,0,0,27,27,-2,1,41499,0,130,2550
11,2550,130,0,0,-26.5,-26.5,-4,70,1422,165,0,0,30,57,3,1,41637,0,130,2550
58,2550,130,0,0,20.5,0,47,66,1436,165,0,0,26,83,-4,1,41780,0,130,2550
73,2550,130,0,0,35.5,35.5,15,68,2550,165,0,0,28,111,2,1,41927,0,130,2550
18,2550,130,0,0,-19.5,0,-55,72,2550,90,0,0,32,143,4,1,42069,0,130,2550
6,2550,130,0,0,-31.5,-31.5,-12,70,2550,90,0,0,30,173,-2,1,42219,0,130,2550
76,2550,130,0,0,38.5,0,70,72,2550,90,0,0,32,205,2,1,42358,0,130,2550
78,2550,130,0,0,40.5,40.5,2,75,2550,90,0,0,35,240,3,1,42488,0,130,2550
4,2550,130,0,0,-33.5,0,-74,78,2550,90,0,0,38,278,3,1,42652,0,130,2550
7,2550,130,0,0,-30.5,-30.5,3,88,2550,90,0,0,48,326,10,1,42801,0,130,2550
72,2550,130,0,0,34.5,0,65,80,2550,90,0,0,40,366,-8,1,43100,0,130,2550
77,2550,130,0,0,39.5,39.5,5,15,2550,90,0,0,-25,0,-65,1,43249,0,130,2550
14,2550,130,0,0,-23.5,0,-63,5,563,94.5,0,0,-35,-35,-10,1,43249,0,130,2550
5,2550,130,0,0,-32.5,-32.5,-9,5,592,99.225,0,0,-35,-70,0,1,43408,0,130,2550
48,2550,130,0,0,10.5,0,43,5,635,104.18625,0,0,-35,-105,0,1,43558,0,130,2550
70,2550,130,0,0,32.5,32.5,22,5,609,90,0,0,-35,-140,0,1,43711,0,130,2550
18,2550,130,0,0,-19.5,0,-52,24,609,90,0,0,-16,-156,19,1,43867,0,130,2550
5,2550,130,0,0,-32.5,-32.5,-13,76,2550,90,0,0,36,0,52,1,44141,0,130,2550
65,2550,130,0,0,27.5,0,60,79,2550,94.5,0,0,39,39,3,1,44289,0,130,2550
71,2550,130,0,0,33.5,33.5,6,80,2550,99.225,0,0,40,79,1,1,44432,0,130,2550
15,2550,130,0,0,-22.5,0,-56,80,2550,104.18625,0,0,40,119,0,1,44602,0,130,2550
5,2550,130,0,0,-32.5,-32.5,-10,78,2550,90,0,0,38,157,-2,1,44757,0,130,1864
54,1875,130,0,0,16.5,0,49,73,2550,90,0,0,33,190,-5,1,44911,0,130,1864
70,1864,130,0,0,32.5,32.5,16,70,674,90,0,0,30,220,-3,1,45091,0,130,2550
10,2550,130,0,0,-27.5,0,-60,63,654,90,0,0,23,243,-7,1,45091,0,130,2550
5,2550,130,0,0,-32.5,-32.5,-5,22,740,90,0,0,-18,0,-41,1,45252,0,130,1799
72,1799,130,0,0,34.5,0,67,3,2550,94.5,0,0,-37,-37,-19,1,45388,0,130,1793
81,1793,130,0,0,43.5,43.5,9,57,666,99.225,0,0,17,0,54,1,45522,0,130,1793
59,1793,130,0,0,21.5,65,-22,79,685,104.18625,0,0,39,39,22,1,45662,0,130,1793
8,1793,130,0,0,-29.5,0,-51,73,697,109.3955625,0,0,33,72,-6,1,45798,0,130,1793
11,1793,130,0,0,-26.5,-26.5,3,61,693,114.8653406,0,0,21,93,-12,1,45942,0,130,1793
70,1793,130,0,0,32.5,0,59,33,679,120.6086077,0,0,-7,0,-28,1,46089,0,130,1793
68,1793,130,0,0,30.5,30.5,-2,18,651,126.639038,0,0,-22,-22,-15,1,46228,0,130,1793
14,1793,130,0,0,-23.5,0,-54,63,639,132.9709899,0,0,23,0,45,1,46371,0,130,1793
6,1793,130,0,0,-31.5,-31.5,-8,74,705,139.6195394,0,0,34,34,11,1,46661,0,130,1793
67,1793,130,0,0,29.5,0,61,48,697,146.6005164,0,0,8,0,-26,1,46661,0,130,326
80,326,80,0,0,42.5,42.5,13,6,668,153.9305422,0,0,-34,0,-42,1,46807,0,80,326
49,326,80,0,0,11.5,54,-31,5,643,161.6270693,0,0,-35,-35,-1,1,46959,0,80,1607
10,1607,80.5,0,0,-27.5,0,-39,65,668,165,0,0,25,0,60,1,47101,0,80.5,1580
30,1580,81,0,0,-7.5,0,20,62,658,165,0,0,22,22,-3,1,47242,0,81,1740
69,1740,81.5,0,0,31.5,0,39,44,624,165,0,0,4,0,-18,1,47391,0,81.5,1536
50,1536,82,0,0,12.5,12.5,-19,25,609,165,0,0,-15,0,-19,1,47533,0,82,1529
8,1529,82.5,0,0,-29.5,0,-42,28,563,165,0,0,-12,-12,3,1,47678,0,82.5,1503
6,1503,83,0,0,-31.5,-31.5,-2,53,573,165,0,0,13,0,25,1,47819,0,83,2155
61,2155,83.5,0,0,23.5,0,55,60,553,165,0,0,20,20,7,1,47958,0,83.5,2130
72,2130,84,0,0,34.5,34.5,11,18,569,165,0,0,-22,0,-42,1,48110,0,84,1490
8,1490,84.5,0,0,-29.5,0,-64,5,555,165,0,0,-35,-35,-13,1,48260,0,84.5,1468
5,1468,85,0,0,-32.5,-32.5,-3,70,534,165,0,0,30,0,65,1,48398,0,85,1426
38,1426,85.5,0,0,0.5,0,33,81,537,165,0,0,41,41,11,1,48547,0,85.5,1404
46,1404,86,0,0,8.5,0,8,76,519,165,0,0,36,77,-5,1,48688,0,86,1464
22,1464,86.5,0,0,-15.5,0,-24,17,517,165,0,0,-23,0,-59,1,48829,0,86.5,1438
11,1438,87,0,0,-26.5,-26.5,-11,5,479,165,0,0,-35,-35,-12,1,48987,0,87,1397
50,1397,87.5,0,0,12.5,0,39,18,481,165,0,0,-22,-57,13,1,49128,0,87.5,1252
74,1252,88,0,0,36.5,36.5,24,65,479,165,0,0,25,0,47,1,49278,0,88,1351
30,1351,88.5,0,0,-7.5,0,-44,79,447,165,0,0,39,39,14,1,49419,0,88.5,1464
14,1464,89,0,0,-23.5,-23.5,-16,55,445,165,0,0,15,54,-24,1,49589,0,89,1361
13,1361,89.5,0,0,-24.5,-48,-1,11,429,165,0,0,-29,0,-44,1,49741,0,89,1330
66,1330,90,0,0,28.5,0,53,4,436,165,0,0,-36,-36,-7,1,49880,0,90,1174
78,1174,90.5,0,0,40.5,40.5,12,24,428,165,0,0,-16,-52,20,1,50017,0,90.5,1330
72,1330,91,0,0,34.5,75,-6,64,389,165,0,0,24,0,40,1,50157,0,91,1406
53,1406,91.5,0,0,15.5,90.5,-19,64,404,165,0,0,24,24,0,1,50301,0,91.5,1380
39,1380,92,0,0,1.5,0,-14,53,357,165,0,0,13,37,-11,1,50441,0,92,1370
70,1370,92.5,0,0,32.5,32.5,31,14,340,165,0,0,-26,0,-39,1,50441,0,92,1370
82,1378,93,0,0,44.5,77,12,11,321,90,0,0,-29,-29,-3,1,50592,0,92.5,1378
80,1343,93.5,0,0,42.5,119.5,-2,53,321,90,0,0,13,0,42,1,50748,0,93,1343
61,1332,94,0,0,23.5,143,-19,60,334,94.5,0,0,20,20,7,1,50882,0,93.5,1332
16,2550,94.5,0,0,-21.5,0,-45,33,338,99.225,0,0,-7,0,-27,1,51159,0,94,2550
12,2550,95,0,0,-25.5,-25.5,-4,13,376,104.18625,0,0,-27,-27,-20,1,51159,0,94.5,2550
81,1336,95.5,0,0,43.5,0,69,34,357,109.3955625,0,0,-6,0,21,1,51450,0,95.5,1309
79,1309,96,0,0,41.5,41.5,-2,67,326,90,0,0,27,0,33,1,51450,0,95.5,1309
81,1278,96.5,0,0,43.5,85,2,74,328,90,0,0,34,34,7,1,51599,0,96,1278
80,2550,97,0,0,42.5,127.5,-1,69,357,94.5,0,0,29,63,-5,1,51750,0,96.5,2550
79,2550,97.5,0,0,41.5,169,-1,23,321,90,0,0,-17,0,-46,1,51892,0,97,2550
69,2550,98,0,0,31.5,200.5,-10,5,392,94.5,0,0,-35,-35,-18,1,52034,0,97.5,2550
15,2550,98.5,0,0,-22.5,0,-54,19,340,99.225,0,0,-21,-56,14,1,52179,0,98,2550
14,2550,99,0,0,-23.5,-23.5,-1,66,340,104.18625,0,0,26,0,47,1,52328,0,98.5,2550
80,2550,99.5,0,0,42.5,0,66,67,321,90,0,0,27,27,1,1,52471,0,99,2550
78,2550,100,0,0,40.5,40.5,-2,50,340,94.5,0,0,10,37,-17,1,52631,0,99.5,2550
69,2550,100.5,0,0,31.5,72,-9,29,321,90,0,0,-11,0,-21,1,52798,0,100,2550
57,2550,101,0,0,19.5,91.5,-12,20,326,90,0,0,-20,-20,-9,1,52940,0,100.5,2550
46,2550,101.5,0,0,8.5,0,-11,53,329,90,0,0,13,0,33,1,53210,0,101.5,2550
60,2550,102,0,0,22.5,22.5,14,71,383,94.5,0,0,31,31,18,1,53210,0,101.5,2550
75,2550,102.5,0,0,37.5,60,15,67,357,99.225,0,0,27,58,-4,1,53368,0,102,2550
65,2550,103,0,0,27.5,87.5,-10,17,340,104.18625,0,0,-23,0,-50,1,53650,0,103,2550
43,2550,103.5,0,0,5.5,0,-22,4,329,90,0,0,-36,-36,-13,1,53650,0,103,2550
67,2550,104,0,0,29.5,29.5,24,6,389,94.5,0,0,-34,-70,2,1,53810,0,103.5,2550
76,1267,104.5,0,0,38.5,68,9,47,408,99.225,0,0,7,0,41,1,53957,0,104,1267
74,2550,105,0,0,36.5,104.5,-2,72,408,104.18625,0,0,32,32,25,1,54109,0,104.5,2550
68,2550,105.5,0,0,30.5,135,-6,71,2550,109.3955625,0,0,31,63,-1,1,54259,0,105,2550
56,2550,106,0,0,18.5,153.5,-12,38,353,114.8653406,0,0,-2,0,-33,1,54400,0,105.5,2550
44,2550,106.5,0,0,6.5,0,-12,5,340,120.6086077,0,0,-35,-35,-33,1,54547,0,106,2550
55,2550,107,0,0,17.5,17.5,11,14,345,126.639038,0,0,-26,-61,9,1,54692,0,106.5,2550
76,2550,107.5,0,0,38.5,56,21,75,1316,132.9709899,0,0,35,0,61,1,54831,0,107,2550
73,2550,108,0,0,35.5,91.5,-3,74,939,139.6195394,0,0,34,34,-1,1,54988,0,107.5,2550
67,2550,108.5,0,0,29.5,121,-6,75,1299,146.6005164,0,0,35,69,1,1,55140,0,108,2550
58,2550,109,0,0,20.5,141.5,-9,81,1389,153.9305422,0,0,41,110,6,1,55282,0,108.5,2550
35,2550,109.5,0,0,-2.5,0,-23,82,1993,90,0,0,42,152,1,1,55427,0,109,2550
41,2550,110,0,0,3.5,0,6,77,1944,90,0,0,37,189,-5,1,55588,0,109.5,2550
61,2550,110.5,0,0,23.5,23.5,20,41,1944,90,0,0,1,0,-36,1,55730,0,110,2550
39,2550,111,0,0,1.5,0,-22,5,389,94.5,0,0,-35,0,-36,1,56010,0,110.5,2550
17,2550,111.5,0,0,-20.5,0,-22,18,353,99.225,0,0,-22,-22,13,1,56010,0,111,2550
58,2550,112,0,0,20.5,0,41,75,404,104.18625,0,0,35,0,57,1,56149,0,111.5,2550
79,2550,112.5,0,0,41.5,41.5,21,78,2550,109.3955625,0,0,38,38,3,1,56290,0,112,2550
37,2550,113,0,0,-0.5,0,-42,86,2550,114.8653406,0,0,46,84,8,1,56426,0,112.5,2550
5,2471,113.5,0,0,-32.5,-32.5,-32,74,383,120.6086077,0,0,34,118,-12,1,56559,0,113,2471
41,2412,114,0,0,3.5,0,36,89,383,90,0,0,49,167,15,1,56700,0,113.5,2412
71,2550,114.5,0,0,33.5,33.5,30,46,2550,90,0,0,6,0,-43,1,56859,0,114,2550
21,2550,115,0,0,-16.5,0,-50,6,326,90,0,0,-34,0,-40,1,57018,0,114.5,2550
5,2550,115.5,0,0,-32.5,-32.5,-16,6,391,94.5,0,0,-34,-34,0,1,57299,0,115,2550
15,2367,116,0,0,-22.5,-55,10,69,393,99.225,0,0,29,0,63,1,57299,0,115.5,2367
53,2378,116.5,0,0,15.5,0,38,72,2550,104.18625,0,0,32,32,3,1,57597,0,116.5,2378
67,2271,117,0,0,29.5,29.5,14,59,326,90,0,0,19,51,-13,1,57597,0,116.5,2271
24,2550,117.5,0,0,-13.5,0,-43,42,392,94.5,0,0,2,0,-17,1,57748,0,117,2550
6,2299,118,0,0,-31.5,-31.5,-18,43,435,99.225,0,0,3,0,1,1,58021,0,118,2299
49,2213,118.5,0,0,11.5,0,43,65,2550,104.18625,0,0,25,25,22,1,58021,0,118,2213
70,2550,119,0,0,32.5,32.5,21,68,418,109.3955625,0,0,28,53,3,1,58168,0,118.5,2550
33,2550,119.5,0,0,-4.5,0,-37,66,418,114.8653406,0,0,26,79,-2,1,58310,0,119,2550
6,2550,120,0,0,-31.5,-31.5,-27,67,404,120.6086077,0,0,27,106,1,1,58450,0,119.5,2550
35,2214,120.5,0,0,-2.5,0,29,68,425,90,0,0,28,134,1,1,58601,0,120,2214
74,2181,121,0,0,36.5,0,39,68,447,90,0,0,28,162,0,1,58878,0,121,2550
52,2550,121.5,0,0,14.5,14.5,-22,59,397,90,0,0,19,181,-9,1,58878,0,121,2550
6,2132,122,0,0,-31.5,0,-46,10,384,90,0,0,-30,0,-49,1,59041,0,121.5,2132
32,2114,122.5,0,0,-5.5,0,26,4,393,94.5,0,0,-36,-36,-6,1,59199,0,122,2114
77,2550,123,0,0,39.5,0,45,67,411,99.225,0,0,27,0,63,1,59351,0,122.5,2550
60,2382,123.5,0,0,22.5,22.5,-17,69,420,104.18625,0,0,29,29,2,1,59487,0,123,2382
8,2366,124,0,0,-29.5,0,-52,66,404,109.3955625,0,0,26,55,-3,1,59639,0,123.5,2366
14,2231,124.5,0,0,-23.5,-23.5,6,62,384,114.8653406,0,0,22,77,-4,1,59790,0,124,2231
78,2185,125,0,0,40.5,0,64,56,401,120.6086077,0,0,16,93,-6,1,59937,0,124.5,2185
74,1989,125.5,0,0,36.5,36.5,-4,54,411,126.639038,0,0,14,107,-2,1,60081,0,125,1989
5,1927,126,0,0,-32.5,0,-69,40,420,90,0,0,0,0,-14,1,60238,0,125.5,1927
5,1909,126.5,0,0,-32.5,-32.5,0,21,403,94.5,0,0,-19,-19,-19,1,60388,0,126,1909
67,1892,127,0,0,29.5,0,62,41,404,99.225,0,0,1,0,20,1,60527,0,126.5,1892
77,1900,127.5,0,0,39.5,39.5,10,67,412,104.18625,0,0,27,27,26,1,60668,0,127,1900
11,1843,128,0,0,-26.5,0,-66,61,425,109.3955625,0,0,21,48,-6,1,60818,0,127.5,1843
6,1829,128.5,0,0,-31.5,-31.5,-5,12,427,114.8653406,0,0,-28,0,-49,1,60950,0,128,1829
42,1805,129,0,0,4.5,0,36,6,435,120.6086077,0,0,-34,-34,-6,1,61230,0,129,1791
68,1791,129.5,0,0,30.5,30.5,26,82,439,126.639038,0,0,42,0,76,1,61368,0,129,1791
33,1771,130,0,0,-4.5,0,-35,77,439,132.9709899,0,0,37,37,-5,1,61368,0,129.5,1771
9,1748,130,0,0,-28.5,-28.5,-24,66,436,139.6195394,0,0,26,63,-11,1,61501,0,130,1748
11,1730,130,0,0,-26.5,-55,2,35,443,146.6005164,0,0,-5,0,-31,1,61641,0,130,1730
57,1706,130,0,0,19.5,0,46,14,447,153.9305422,0,0,-26,-26,-21,1,61800,0,130,1706
69,1694,130,0,0,31.5,31.5,12,34,420,161.6270693,0,0,-6,0,20,1,61951,0,130,1694
16,1671,130,0,0,-21.5,0,-53,69,431,165,0,0,29,0,35,1,62093,0,130,1671
5,1656,130,0,0,-32.5,-32.5,-11,66,420,165,0,0,26,26,-3,1,62246,0,130,1656
73,1627,130,0,0,35.5,0,68,6,425,165,0,0,-34,0,-60,1,62392,0,130,1627
75,1611,130,0,0,37.5,37.5,2,5,418,165,0,0,-35,-35,-1,1,62541,0,130,1611
22,1588,130,0,0,-15.5,0,-53,8,391,165,0,0,-32,-67,3,1,62686,0,130,1588
5,1567,130,0,0,-32.5,-32.5,-17,58,397,165,0,0,18,0,50,1,62849,0,130,1567
65,1551,130,0,0,27.5,0,60,69,392,165,0,0,29,29,11,1,63009,0,130,1551
73,1535,130,0,0,35.5,35.5,8,70,382,165,0,0,30,59,1,1,63160,0,130,1535
17,1512,130,0,0,-20.5,0,-56,15,393,165,0,0,-25,0,-55,1,63308,0,130,1512
6,1489,130,0,0,-31.5,-31.5,-11,5,355,165,0,0,-35,-35,-10,1,63469,0,130,1489
59,1482,130,0,0,21.5,0,53,25,338,165,0,0,-15,-50,20,1,63619,0,130,1482
72,1448,130,0,0,34.5,34.5,13,73,376,165,0,0,33,0,48,1,63779,0,130,1448
18,1421,130,0,0,-19.5,0,-54,71,321,90,0,0,31,31,-2,1,63952,0,130,1421
5,1399,130,0,0,-32.5,-32.5,-13,64,353,94.5,0,0,24,55,-7,1,64127,0,130,1421
64,1376,130,0,0,26.5,0,59,44,340,99.225,0,0,4,0,-20,1,64127,0,130,1399
76,1360,130,0,0,38.5,38.5,12,17,345,104.18625,0,0,-23,0,-27,1,64312,0,130,1376
15,1360,130,0,0,-22.5,0,-61,25,410,109.3955625,0,0,-15,-15,8,1,64460,0,130,1360
16,1360,130,0,0,-21.5,-21.5,1,68,380,114.8653406,0,0,28,0,43,1,64600,0,130,1360
77,1360,130,0,0,39.5,0,61,68,370,120.6086077,0,0,28,28,0,1,64767,0,130,1360
78,1360,130,0,0,40.5,40.5,1,14,364,126.639038,0,0,-26,0,-54,1,64908,0,130,1360
79,1360,130,0,0,41.5,82,1,5,392,132.9709899,0,0,-35,-35,-9,1,65056,0,130,1360
81,1246,130,0,0,43.5,125.5,2,50,410,139.6195394,0,0,10,0,45,1,65208,0,130,1360
79,1219,130,0,0,41.5,167,-2,71,380,146.6005164,0,0,31,31,21,1,65489,0,130,1219
79,1199,130,0,0,41.5,208.5,0,55,376,153.9305422,0,0,15,46,-16,1,65489,0,130,1219
79,1187,130,0,0,41.5,250,0,13,437,161.6270693,0,0,-27,0,-42,1,65657,0,130,1199
76,1183,130,0,0,38.5,288.5,-3,9,361,165,0,0,-31,-31,-4,1,65798,0,130,1187
77,1164,130,0,0,39.5,328,1,56,366,165,0,0,16,0,47,1,65940,0,130,1183
75,1866,130,0,0,37.5,365.5,-2,78,347,165,0,0,38,38,22,1,66079,0,130,1164
5,1842,130,0,0,-32.5,0,-70,16,411,165,0,0,-24,0,-62,1,66239,0,130,1866
5,1817,130,0,0,-32.5,-32.5,0,4,348,165,0,0,-36,-36,-12,1,66381,0,130,1842
10,1801,130,0,0,-27.5,-60,5,9,326,90,0,0,-31,-67,5,1,66537,0,130,1817
20,1779,130,0,0,-17.5,-77.5,10,50,326,90,0,0,10,0,41,1,66682,0,130,1801
66,1767,130,0,0,28.5,0,46,62,355,94.5,0,0,22,22,12,1,66837,0,130,1779
70,1752,130,0,0,32.5,32.5,4,59,329,90,0,0,19,41,-3,1,66968,0,130,1767
71,1726,130,0,0,33.5,66,1,29,357,94.5,0,0,-11,0,-30,1,67267,0,130,1752
71,1706,130,0,0,33.5,99.5,0,10,353,99.225,0,0,-30,-30,-19,1,67267,0,130,1726
69,1688,130,0,0,31.5,131,-2,39,361,104.18625,0,0,-1,0,29,1,67417,0,130,1706
74,1662,130,0,0,36.5,167.5,5,66,412,109.3955625,0,0,26,0,27,1,67701,0,130,1688
76,1648,130,0,0,38.5,206,2,58,411,114.8653406,0,0,18,18,-8,1,67701,0,130,1662
37,1638,130,0,0,-0.5,0,-39,30,382,120.6086077,0,0,-10,0,-28,1,67869,0,130,1648
23,1625,130,0,0,-14.5,-14.5,-14,21,393,126.639038,0,0,-19,-19,-9,1,68011,0,130,1638
78,1597,130,0,0,40.5,0,55,49,428,132.9709899,0,0,9,0,28,1,68148,0,130,1625
80,1581,130,0,0,42.5,42.5,2,67,416,139.6195394,0,0,27,27,18,1,68306,0,130,1597
80,1569,130,0,0,42.5,85,0,24,473,146.6005164,0,0,-16,0,-43,1,68448,0,130,1581
