 Veh 1 color, Veh 1 distance, Veh 1 speed,Veh 1 stop, Veh 1 step, Veh 1 deviation, Veh 1 integral, Veh 1 derivative,Veh 2 color,Veh 2  distance,Veh 2  speed,Veh 2 stop,Veh 2  step,Veh 2  deviation,Veh 2  integral,Veh 2  derivative,Veh 2  frontID,Veh 2  frontTime,Veh 2  frontStep,Veh 2  frontSpeed,Veh 2  frontDistance,Veh 3 color,Veh 3 distance,Veh 3 speed,Veh 3 stop,Veh 3 step,Veh 3 deviation,Veh 3 integral,Veh 3 derivative,Veh 3 frontID,Veh 3 frontTime,Veh 3 frontStep,Veh 3 frontSpeed,Veh 3 frontDistance
5,1511,106,0,0,-32.5,-32.5,-7,5,1397,94.5,0,0,-35,-35,-13,1,4418,0,104.5,1547,27,2550,132.9709899,0,0,-10.5,0,-27,2,6360,0,126.6390381,2550
58,1499,106.5,0,0,20.5,0,53,66,1351,99.225,0,0,26,0,61,1,4570,0,105,1528,64,2550,139.6195394,0,0,26.5,0,37,2,6492,0,90,2550
74,1482,107,0,0,36.5,36.5,16,82,1376,104.18625,0,0,42,42,16,1,4720,0,105.5,1511,26,2550,146.6005164,0,0,-11.5,0,-38,2,6755,0,90,1210
16,1464,107.5,0,0,-21.5,0,-58,87,2550,109.3955625,0,0,47,89,5,1,4864,0,106,1499,40,1295,153.9305422,0,0,2.5,0,14,2,7034,0,90,2550
5,1452,108,0,0,-32.5,-32.5,-11,77,2550,114.8653406,0,0,37,126,-10,1,5159,0,107,1464,52,1271,161.6270693,0,0,14.5,14.5,12,2,7201,0,94.5,893
46,1430,108.5,0,0,8.5,0,41,9,1397,90,0,0,-31,0,-68,1,5307,0,107.5,1452,25,2550,165,0,0,-12.5,0,-27,2,7341,0,99.22499847,2550
68,1413,109,0,0,30.5,30.5,22,5,1389,94.5,0,0,-35,-35,-4,1,5458,0,108,1430,47,1215,165,0,0,9.5,0,22,2,7633,0,109.3955612,2550
21,1397,109.5,0,0,-16.5,0,-47,9,2550,99.225,0,0,-31,-66,4,1,5617,0,108.5,1413,41,2550,165,0,0,3.5,0,-6,2,7773,0,114.8653412,1702
5,1385,110,0,0,-32.5,-32.5,-16,67,2550,104.18625,0,0,27,0,58,1,5758,0,109,1397,38,2550,165,0,0,0.5,0,-3,2,8047,0,120.6086044,1162
43,1381,110.5,0,0,5.5,0,38,70,2550,109.3955625,0,0,30,30,3,1,5912,0,109.5,1385,36,2550,165,0,0,-1.5,0,-2,2,8183,0,90,1196
71,1352,111,0,0,33.5,33.5,28,75,2550,114.8653406,0,0,35,65,5,1,6051,0,109.5,1385,35,1152,165,0,0,-2.5,0,-1,2,8338,0,90,1202
41,1352,111.5,0,0,3.5,0,-30,74,2550,120.6086077,0,0,34,99,-1,1,6051,0,110,1381,40,1100,165,0,0,2.5,0,5,2,8612,0,90,2550
8,1352,112,0,0,-29.5,0,-33,73,1337,126.639038,0,0,33,132,-1,1,6197,0,110.5,1352,39,2550,165,0,0,1.5,0,-1,2,8762,0,94.5,2550
53,1352,112.5,0,0,15.5,0,45,71,2550,90,0,0,31,163,-2,1,6469,0,111,1352,39,1623,165,0,0,1.5,0,0,2,9044,0,104.1862488,2550
78,1352,113,0,0,40.5,40.5,25,70,2550,90,0,0,30,193,-1,1,6469,0,111.5,1352,49,2550,165,0,0,11.5,11.5,10,2,9193,0,109.3955612,1227
78,1352,113.5,0,0,40.5,81,0,70,2550,90,0,0,30,223,0,1,6611,0,112,1352,18,1460,165,0,0,-19.5,0,-31,2,9514,0,114.8653412,1271
78,1352,114,0,0,40.5,121.5,0,66,1210,90,0,0,26,249,-4,1,6749,0,112.5,1352,49,1406,165,0,0,11.5,0,31,2,9655,0,126.6390381,2550
79,1352,114.5,0,0,41.5,163,1,31,2550,90,0,0,-9,0,-35,1,6887,0,113,1352,53,2550,165,0,0,15.5,15.5,4,2,9791,0,132.970993,2550
78,1227,115,0,0,40.5,203.5,-1,5,893,94.5,0,0,-35,-35,-26,1,7027,0,113.5,1352,18,1740,165,0,0,-19.5,0,-35,2,10083,0,146.6005096,2271
61,1219,115.5,0,0,23.5,227,-17,27,2420,99.225,0,0,-13,-48,22,1,7311,0,114.5,1227,46,2550,165,0,0,8.5,0,28,2,10221,0,153.930542,2238
15,1219,116,0,0,-22.5,0,-46,77,2550,104.18625,0,0,37,0,50,1,7448,0,114.5,1227,54,1539,165,0,0,16.5,16.5,8,2,10391,0,161.6270752,1227
12,1210,116.5,0,0,-25.5,-25.5,-3,71,2550,109.3955625,0,0,31,31,-6,1,7448,0,115,1219,11,1539,165,0,0,-26.5,0,-43,2,10682,0,165,2550
78,1183,117,0,0,40.5,0,66,66,1271,114.8653406,0,0,26,57,-5,1,7598,0,115.5,1219,42,1539,165,0,0,4.5,0,31,2,10821,0,165,1155
75,1164,117.5,0,0,37.5,37.5,-3,66,1702,120.6086077,0,0,26,83,0,1,7877,0,116.5,1210,52,1756,165,0,0,14.5,14.5,10,2,11096,0,165,1119
52,1162,118,0,0,14.5,52,-23,65,1162,126.639038,0,0,25,108,-1,1,7877,0,116.5,1183,16,349,165,0,0,-21.5,0,-36,2,11242,0,165,2290
82,1148,118.5,0,0,44.5,96.5,30,66,1201,90,0,0,26,134,1,1,8028,0,117,1164,57,2550,165,0,0,19.5,0,41,2,11548,0,165,2116
83,1138,119,0,0,45.5,142,1,66,1196,90,0,0,26,160,0,1,8178,0,117.5,1162,45,2550,165,0,0,7.5,0,-12,2,11699,0,165,2100
78,1817,119.5,0,0,40.5,182.5,-5,69,1202,90,0,0,29,189,3,1,8317,0,118,1148,15,1601,165,0,0,-22.5,0,-30,2,11840,0,165,1031
79,1799,120,0,0,41.5,224,1,40,1254,90,0,0,0,0,-29,1,8600,0,119,1138,60,2550,165,0,0,22.5,0,45,2,12132,0,165,2550
68,1779,120.5,0,0,30.5,254.5,-11,5,2550,94.5,0,0,-35,-35,-35,1,8600,0,119,1817,55,2550,165,0,0,17.5,17.5,-5,2,12265,0,165,2550
6,1756,121,0,0,-31.5,0,-62,4,2550,99.225,0,0,-36,-71,-1,1,8871,0,120,1779,10,2550,165,0,0,-27.5,0,-45,2,12422,0,165,2550
