Original Statement,tp,tn,fp,fn,score
"m_176: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=65)==c(i=1, t=None))",9,121,18,1371,6.923076923076923
"m_27: (v(i=0, t=17)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",8,122,19,1418,6.153846153846154
"m_31: (v(i=0, t=21)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",8,122,19,1414,6.153846153846154
"m_32: (v(i=0, t=22)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",8,122,19,1413,6.153846153846154
"m_132: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=21)==c(i=1, t=None))",8,122,19,1414,6.153846153846154
"m_133: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=22)==c(i=1, t=None))",8,122,19,1413,6.153846153846154
"m_145: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=34)==c(i=1, t=None))",8,122,19,1401,6.153846153846154
"m_159: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=48)==c(i=1, t=None))",8,122,19,1387,6.153846153846154
"m_160: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=49)==c(i=1, t=None))",8,122,19,1386,6.153846153846154
"m_161: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=50)==c(i=1, t=None))",8,122,19,1385,6.153846153846154
"m_174: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=63)==c(i=1, t=None))",8,122,19,1372,6.153846153846154
"m_177: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=66)==c(i=1, t=None))",8,122,19,1369,6.153846153846154
"m_28: (v(i=0, t=18)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",7,123,20,1416,5.384615384615385
"m_29: (v(i=0, t=19)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",7,123,20,1415,5.384615384615385
"m_30: (v(i=0, t=20)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",7,123,20,1414,5.384615384615385
"m_134: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=23)==c(i=1, t=None))",7,123,20,1411,5.384615384615385
"m_146: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=35)==c(i=1, t=None))",7,123,20,1399,5.384615384615385
"m_147: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=36)==c(i=1, t=None))",7,123,20,1398,5.384615384615385
"m_148: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=37)==c(i=1, t=None))",7,123,20,1397,5.384615384615385
"m_149: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=38)==c(i=1, t=None))",7,123,20,1396,5.384615384615385
"m_150: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=39)==c(i=1, t=None))",7,123,20,1395,5.384615384615385
"m_154: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=43)==c(i=1, t=None))",7,123,20,1391,5.384615384615385
"m_155: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=44)==c(i=1, t=None))",7,123,20,1390,5.384615384615385
"m_156: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=45)==c(i=1, t=None))",7,123,20,1389,5.384615384615385
"m_157: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=46)==c(i=1, t=None))",7,123,20,1388,5.384615384615385
"m_158: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=47)==c(i=1, t=None))",7,123,20,1387,5.384615384615385
"m_162: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=51)==c(i=1, t=None))",7,123,20,1383,5.384615384615385
"m_163: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=52)==c(i=1, t=None))",7,123,20,1382,5.384615384615385
"m_164: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=53)==c(i=1, t=None))",7,123,20,1381,5.384615384615385
"m_172: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=61)==c(i=1, t=None))",7,123,20,1373,5.384615384615385
"m_173: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=62)==c(i=1, t=None))",7,123,20,1372,5.384615384615385
"m_178: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=67)==c(i=1, t=None))",7,123,20,1367,5.384615384615385
"m_33: (v(i=0, t=23)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",6,124,21,1410,4.615384615384616
"m_151: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=40)==c(i=1, t=None))",6,124,21,1393,4.615384615384616
"m_152: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=41)==c(i=1, t=None))",6,124,21,1392,4.615384615384616
"m_153: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=42)==c(i=1, t=None))",6,124,21,1391,4.615384615384616
"m_165: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=54)==c(i=1, t=None))",6,124,21,1379,4.615384615384616
"m_170: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=59)==c(i=1, t=None))",6,124,21,1374,4.615384615384616
"m_171: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=60)==c(i=1, t=None))",6,124,21,1373,4.615384615384616
"m_179: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=68)==c(i=1, t=None))",6,124,21,1365,4.615384615384616
"m_58: (v(i=0, t=48)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",5,125,22,1384,3.8461538461538463
"m_59: (v(i=0, t=49)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",5,125,22,1383,3.8461538461538463
"m_60: (v(i=0, t=50)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",5,125,22,1382,3.8461538461538463
"m_166: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=55)==c(i=1, t=None))",5,125,22,1377,3.8461538461538463
"m_167: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=56)==c(i=1, t=None))",5,125,22,1376,3.8461538461538463
"m_168: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=57)==c(i=1, t=None))",5,125,22,1375,3.8461538461538463
"m_169: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=58)==c(i=1, t=None))",5,125,22,1374,3.8461538461538463
"m_180: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=69)==c(i=1, t=None))",5,125,22,1363,3.8461538461538463
"m_34: (v(i=0, t=24)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",4,126,23,1407,3.076923076923077
"m_56: (v(i=0, t=46)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",4,126,23,1385,3.076923076923077
"m_57: (v(i=0, t=47)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",4,126,23,1384,3.076923076923077
"m_61: (v(i=0, t=51)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",4,126,23,1380,3.076923076923077
"m_62: (v(i=0, t=52)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",4,126,23,1379,3.076923076923077
"m_63: (v(i=0, t=53)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",4,126,23,1378,3.076923076923077
"m_64: (v(i=0, t=54)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",4,126,23,1377,3.076923076923077
"m_181: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=70)==c(i=1, t=None))",4,126,23,1361,3.076923076923077
"m_53: (v(i=0, t=43)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",3,127,24,1387,2.307692307692308
"m_54: (v(i=0, t=44)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",3,127,24,1386,2.307692307692308
"m_55: (v(i=0, t=45)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",3,127,24,1385,2.307692307692308
"m_65: (v(i=0, t=55)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",3,127,24,1375,2.307692307692308
"m_66: (v(i=0, t=56)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",3,127,24,1374,2.307692307692308
"m_182: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=71)==c(i=1, t=None))",3,127,24,1359,2.307692307692308
"m_4: (v(i=0, t=0)!=c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",27,1556,0,0,1.705622236260265
"m_10: (v(i=1, t=0)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",27,1556,0,0,1.705622236260265
"m_35: (v(i=0, t=25)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",2,128,25,1404,1.5384615384615385
"m_52: (v(i=0, t=42)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",2,128,25,1387,1.5384615384615385
"m_67: (v(i=0, t=57)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",2,128,25,1372,1.5384615384615385
"m_70: (v(i=0, t=60)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",2,128,25,1369,1.5384615384615385
"m_183: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=72)==c(i=1, t=None))",2,128,25,1357,1.5384615384615385
"m_36: (v(i=0, t=26)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",1,129,26,1402,0.7692307692307693
"m_50: (v(i=0, t=40)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",1,129,26,1388,0.7692307692307693
"m_51: (v(i=0, t=41)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",1,129,26,1387,0.7692307692307693
"m_68: (v(i=0, t=58)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",1,129,26,1370,0.7692307692307693
"m_69: (v(i=0, t=59)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",1,129,26,1369,0.7692307692307693
"m_71: (v(i=0, t=61)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",1,129,26,1367,0.7692307692307693
"m_72: (v(i=0, t=62)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",1,129,26,1366,0.7692307692307693
"m_73: (v(i=0, t=63)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",1,129,26,1365,0.7692307692307693
"m_74: (v(i=0, t=64)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",1,129,26,1364,0.7692307692307693
"m_75: (v(i=0, t=65)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",1,129,26,1363,0.7692307692307693
"m_76: (v(i=0, t=66)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",1,129,26,1362,0.7692307692307693
"m_77: (v(i=0, t=67)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",1,129,26,1361,0.7692307692307693
"m_78: (v(i=0, t=68)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",1,129,26,1360,0.7692307692307693
"m_184: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=73)==c(i=1, t=None))",1,129,26,1355,0.7692307692307693
"m_0: (v(i=0, t=0)==c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,0,27,1556,0
"m_2: (v(i=0, t=0)>=c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,1453,27,103,0.0
"m_3: (v(i=0, t=0)>c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,1453,27,103,0.0
"m_7: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=1)<c(i=1, t=None))",0,130,0,1453,0.0
"m_37: (v(i=0, t=27)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1400,0.0
"m_38: (v(i=0, t=28)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1399,0.0
"m_39: (v(i=0, t=29)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1398,0.0
"m_40: (v(i=0, t=30)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1397,0.0
"m_41: (v(i=0, t=31)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1396,0.0
"m_42: (v(i=0, t=32)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1395,0.0
"m_43: (v(i=0, t=33)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1394,0.0
"m_44: (v(i=0, t=34)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1393,0.0
"m_45: (v(i=0, t=35)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1392,0.0
"m_46: (v(i=0, t=36)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1391,0.0
"m_47: (v(i=0, t=37)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1390,0.0
"m_48: (v(i=0, t=38)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1389,0.0
"m_49: (v(i=0, t=39)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1388,0.0
"m_79: (v(i=0, t=69)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1358,0.0
"m_80: (v(i=0, t=70)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1357,0.0
"m_81: (v(i=0, t=71)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1356,0.0
"m_82: (v(i=0, t=72)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1355,0.0
"m_83: (v(i=0, t=73)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1354,0.0
"m_84: (v(i=0, t=74)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1353,0.0
"m_85: (v(i=0, t=75)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1352,0.0
"m_86: (v(i=0, t=76)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1351,0.0
"m_87: (v(i=0, t=77)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1350,0.0
"m_88: (v(i=0, t=78)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1349,0.0
"m_89: (v(i=0, t=79)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1348,0.0
"m_90: (v(i=0, t=80)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1347,0.0
"m_91: (v(i=0, t=81)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1346,0.0
"m_92: (v(i=0, t=82)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1345,0.0
"m_93: (v(i=0, t=83)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1344,0.0
"m_94: (v(i=0, t=84)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1343,0.0
"m_95: (v(i=0, t=85)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1342,0.0
"m_96: (v(i=0, t=86)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1341,0.0
"m_97: (v(i=0, t=87)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1340,0.0
"m_98: (v(i=0, t=88)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1339,0.0
"m_99: (v(i=0, t=89)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1338,0.0
"m_100: (v(i=0, t=90)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1337,0.0
"m_101: (v(i=0, t=91)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1336,0.0
"m_102: (v(i=0, t=92)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1335,0.0
"m_103: (v(i=0, t=93)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1334,0.0
"m_104: (v(i=0, t=94)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1333,0.0
"m_105: (v(i=0, t=95)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1332,0.0
"m_106: (v(i=0, t=96)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1331,0.0
"m_107: (v(i=0, t=97)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1330,0.0
"m_108: (v(i=0, t=98)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1329,0.0
"m_109: (v(i=0, t=99)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,130,27,1328,0.0
"m_110: (v(i=0, t=0)<c(i=1, t=None),	v(i=1, t=1)==c(i=1, t=None))",0,0,27,1556,0
"m_111: (v(i=0, t=0)<c(i=0, t=None),	v(i=0, t=1)==c(i=1, t=None))",0,130,0,1453,0.0
"m_185: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=74)==c(i=1, t=None))",0,130,27,1353,0.0
"m_186: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=75)==c(i=1, t=None))",0,130,27,1352,0.0
"m_187: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=76)==c(i=1, t=None))",0,130,27,1351,0.0
"m_188: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=77)==c(i=1, t=None))",0,130,27,1350,0.0
"m_189: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=78)==c(i=1, t=None))",0,130,27,1349,0.0
"m_190: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=79)==c(i=1, t=None))",0,130,27,1348,0.0
"m_191: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=80)==c(i=1, t=None))",0,130,27,1347,0.0
"m_192: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=81)==c(i=1, t=None))",0,130,27,1346,0.0
"m_193: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=82)==c(i=1, t=None))",0,130,27,1345,0.0
"m_194: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=83)==c(i=1, t=None))",0,130,27,1344,0.0
"m_195: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=84)==c(i=1, t=None))",0,130,27,1343,0.0
"m_196: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=85)==c(i=1, t=None))",0,130,27,1342,0.0
"m_197: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=86)==c(i=1, t=None))",0,130,27,1341,0.0
"m_198: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=87)==c(i=1, t=None))",0,130,27,1340,0.0
"m_199: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=88)==c(i=1, t=None))",0,130,27,1339,0.0
"m_200: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=89)==c(i=1, t=None))",0,130,27,1338,0.0
"m_201: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=90)==c(i=1, t=None))",0,130,27,1337,0.0
"m_202: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=91)==c(i=1, t=None))",0,130,27,1336,0.0
"m_203: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=92)==c(i=1, t=None))",0,130,27,1335,0.0
"m_204: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=93)==c(i=1, t=None))",0,130,27,1334,0.0
"m_205: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=94)==c(i=1, t=None))",0,130,27,1333,0.0
"m_206: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=95)==c(i=1, t=None))",0,130,27,1332,0.0
"m_207: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=96)==c(i=1, t=None))",0,130,27,1331,0.0
"m_208: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=97)==c(i=1, t=None))",0,130,27,1330,0.0
"m_209: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=98)==c(i=1, t=None))",0,130,27,1329,0.0
"m_210: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=99)==c(i=1, t=None))",0,130,27,1328,0.0
