Original Statement,tp,tn,fp,fn,score
"o_1: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",27,103,0,1453,20.76923076923077
Alternative Statements,tp,tn,fp,fn,Score
"m_6: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=1)>=c(i=1, t=None))",130,0,1453,0,100.0
"m_8: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=1)>c(i=1, t=None))",103,27,1453,0,79.23076923076923
"m_9: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=1)!=c(i=1, t=None))",103,27,1453,0,79.23076923076923
"m_1: (v(i=0, t=0)<=c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",27,103,0,1453,20.76923076923077
"m_5: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=1)<=c(i=1, t=None))",27,103,0,1453,20.76923076923077
"m_11: (v(i=0, t=1)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",27,103,0,1453,20.76923076923077
"m_112: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=0)==c(i=1, t=None))",27,103,0,1454,20.76923076923077
"m_113: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=2)==c(i=1, t=None))",27,103,0,1452,20.76923076923077
"m_114: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=3)==c(i=1, t=None))",27,103,0,1451,20.76923076923077
"m_115: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=4)==c(i=1, t=None))",27,103,0,1450,20.76923076923077
"m_116: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=5)==c(i=1, t=None))",27,103,0,1449,20.76923076923077
"m_117: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=6)==c(i=1, t=None))",27,103,0,1448,20.76923076923077
"m_118: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=7)==c(i=1, t=None))",24,106,3,1444,18.461538461538463
"m_12: (v(i=0, t=2)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",23,107,4,1448,17.692307692307693
"m_119: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=8)==c(i=1, t=None))",22,108,5,1441,16.923076923076923
"m_13: (v(i=0, t=3)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",21,109,6,1445,16.153846153846153
"m_120: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=9)==c(i=1, t=None))",20,110,7,1438,15.384615384615385
"m_14: (v(i=0, t=4)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",19,111,8,1442,14.615384615384617
"m_121: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=10)==c(i=1, t=None))",18,112,9,1435,13.846153846153847
"m_18: (v(i=0, t=8)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",17,113,10,1436,13.076923076923078
"m_19: (v(i=0, t=9)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",17,113,10,1435,13.076923076923078
"m_20: (v(i=0, t=10)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",17,113,10,1434,13.076923076923078
"m_21: (v(i=0, t=11)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",17,113,10,1433,13.076923076923078
"m_122: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=11)==c(i=1, t=None))",17,113,10,1433,13.076923076923078
"m_15: (v(i=0, t=5)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",16,114,11,1438,12.307692307692308
"m_16: (v(i=0, t=6)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",16,114,11,1437,12.307692307692308
"m_17: (v(i=0, t=7)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",16,114,11,1436,12.307692307692308
"m_22: (v(i=0, t=12)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",15,115,12,1430,11.538461538461538
"m_123: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=12)==c(i=1, t=None))",15,115,12,1430,11.538461538461538
"m_124: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=13)==c(i=1, t=None))",14,116,13,1428,10.76923076923077
"m_125: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=14)==c(i=1, t=None))",13,117,14,1426,10.0
"m_126: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=15)==c(i=1, t=None))",13,117,14,1425,10.0
"m_139: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=28)==c(i=1, t=None))",13,117,14,1412,10.0
"m_140: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=29)==c(i=1, t=None))",13,117,14,1411,10.0
"m_23: (v(i=0, t=13)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",12,118,15,1426,9.230769230769232
"m_137: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=26)==c(i=1, t=None))",12,118,15,1413,9.230769230769232
"m_138: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=27)==c(i=1, t=None))",12,118,15,1412,9.230769230769232
"m_141: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=30)==c(i=1, t=None))",12,118,15,1409,9.230769230769232
"m_24: (v(i=0, t=14)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",11,119,16,1424,8.461538461538462
"m_127: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=16)==c(i=1, t=None))",11,119,16,1422,8.461538461538462
"m_128: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=17)==c(i=1, t=None))",11,119,16,1421,8.461538461538462
"m_136: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=25)==c(i=1, t=None))",11,119,16,1413,8.461538461538462
"m_142: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=31)==c(i=1, t=None))",11,119,16,1407,8.461538461538462
"m_25: (v(i=0, t=15)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",10,120,17,1422,7.6923076923076925
"m_129: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=18)==c(i=1, t=None))",10,120,17,1419,7.6923076923076925
"m_130: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=19)==c(i=1, t=None))",10,120,17,1418,7.6923076923076925
"m_143: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=32)==c(i=1, t=None))",10,120,17,1405,7.6923076923076925
"m_26: (v(i=0, t=16)<c(i=0, t=None),	v(i=1, t=1)==c(i=1, t=None))",9,121,18,1420,6.923076923076923
"m_131: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=20)==c(i=1, t=None))",9,121,18,1416,6.923076923076923
"m_135: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=24)==c(i=1, t=None))",9,121,18,1412,6.923076923076923
"m_144: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=33)==c(i=1, t=None))",9,121,18,1403,6.923076923076923
"m_175: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=64)==c(i=1, t=None))",9,121,18,1372,6.923076923076923
