Original Statement,tp,tn,fp,fn,score
"o_1: (v(i=0, t=0)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",868,715,0,0,54.83259633607075
Alternative Statements,tp,tn,fp,fn,Score
"m_88: (v(i=0, t=78)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",195,0,658,653,100.0
"m_89: (v(i=0, t=79)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",192,0,660,653,100.0
"m_188: (v(i=0, t=0)==v(i=0, t=78),	v(i=0, t=0)==v(i=1, t=1))",195,0,658,653,100.0
"m_189: (v(i=0, t=0)==v(i=0, t=79),	v(i=0, t=0)==v(i=1, t=1))",192,0,660,653,100.0
"m_86: (v(i=0, t=76)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",203,1,652,652,99.50980392156863
"m_186: (v(i=0, t=0)==v(i=0, t=76),	v(i=0, t=0)==v(i=1, t=1))",203,1,652,652,99.50980392156863
"m_87: (v(i=0, t=77)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",199,1,655,652,99.5
"m_187: (v(i=0, t=0)==v(i=0, t=77),	v(i=0, t=0)==v(i=1, t=1))",199,1,655,652,99.5
"m_14: (v(i=0, t=4)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",697,6,171,706,99.14651493598862
"m_114: (v(i=0, t=0)==v(i=0, t=4),	v(i=0, t=0)==v(i=1, t=1))",697,6,171,706,99.14651493598862
"m_15: (v(i=0, t=5)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",687,6,181,705,99.13419913419914
"m_115: (v(i=0, t=0)==v(i=0, t=5),	v(i=0, t=0)==v(i=1, t=1))",687,6,181,705,99.13419913419914
"m_16: (v(i=0, t=6)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",678,6,190,704,99.12280701754386
"m_116: (v(i=0, t=0)==v(i=0, t=6),	v(i=0, t=0)==v(i=1, t=1))",678,6,190,704,99.12280701754386
"m_17: (v(i=0, t=7)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",669,6,199,703,99.11111111111111
"m_117: (v(i=0, t=0)==v(i=0, t=7),	v(i=0, t=0)==v(i=1, t=1))",669,6,199,703,99.11111111111111
"m_18: (v(i=0, t=8)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",661,6,207,702,99.10044977511244
"m_118: (v(i=0, t=0)==v(i=0, t=8),	v(i=0, t=0)==v(i=1, t=1))",661,6,207,702,99.10044977511244
"m_19: (v(i=0, t=9)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",653,6,215,701,99.08952959028832
"m_119: (v(i=0, t=0)==v(i=0, t=9),	v(i=0, t=0)==v(i=1, t=1))",653,6,215,701,99.08952959028832
"m_20: (v(i=0, t=10)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",645,6,223,700,99.07834101382488
"m_120: (v(i=0, t=0)==v(i=0, t=10),	v(i=0, t=0)==v(i=1, t=1))",645,6,223,700,99.07834101382488
"m_21: (v(i=0, t=11)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",637,6,231,699,99.06687402799378
"m_121: (v(i=0, t=0)==v(i=0, t=11),	v(i=0, t=0)==v(i=1, t=1))",637,6,231,699,99.06687402799378
"m_22: (v(i=0, t=12)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",629,6,239,698,99.05511811023622
"m_122: (v(i=0, t=0)==v(i=0, t=12),	v(i=0, t=0)==v(i=1, t=1))",629,6,239,698,99.05511811023622
"m_23: (v(i=0, t=13)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",621,6,247,697,99.04306220095694
"m_85: (v(i=0, t=75)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",207,2,649,651,99.04306220095694
"m_123: (v(i=0, t=0)==v(i=0, t=13),	v(i=0, t=0)==v(i=1, t=1))",621,6,247,697,99.04306220095694
"m_185: (v(i=0, t=0)==v(i=0, t=75),	v(i=0, t=0)==v(i=1, t=1))",207,2,649,651,99.04306220095694
"m_24: (v(i=0, t=14)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",613,6,255,696,99.03069466882067
"m_124: (v(i=0, t=0)==v(i=0, t=14),	v(i=0, t=0)==v(i=1, t=1))",613,6,255,696,99.03069466882067
"m_13: (v(i=0, t=3)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",707,7,161,706,99.01960784313727
"m_113: (v(i=0, t=0)==v(i=0, t=3),	v(i=0, t=0)==v(i=1, t=1))",707,7,161,706,99.01960784313727
"m_25: (v(i=0, t=15)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",605,6,263,695,99.01800327332242
"m_125: (v(i=0, t=0)==v(i=0, t=15),	v(i=0, t=0)==v(i=1, t=1))",605,6,263,695,99.01800327332242
"m_26: (v(i=0, t=16)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",597,6,271,694,99.00497512437812
"m_126: (v(i=0, t=0)==v(i=0, t=16),	v(i=0, t=0)==v(i=1, t=1))",597,6,271,694,99.00497512437812
"m_90: (v(i=0, t=80)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",189,2,662,651,98.95287958115183
"m_190: (v(i=0, t=0)==v(i=0, t=80),	v(i=0, t=0)==v(i=1, t=1))",189,2,662,651,98.95287958115183
"m_30: (v(i=0, t=20)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",566,6,302,690,98.95104895104895
"m_130: (v(i=0, t=0)==v(i=0, t=20),	v(i=0, t=0)==v(i=1, t=1))",566,6,302,690,98.95104895104895
"m_31: (v(i=0, t=21)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",558,6,310,689,98.93617021276596
"m_91: (v(i=0, t=81)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",186,2,664,651,98.93617021276596
"m_131: (v(i=0, t=0)==v(i=0, t=21),	v(i=0, t=0)==v(i=1, t=1))",558,6,310,689,98.93617021276596
"m_191: (v(i=0, t=0)==v(i=0, t=81),	v(i=0, t=0)==v(i=1, t=1))",186,2,664,651,98.93617021276596
"m_32: (v(i=0, t=22)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",550,6,318,688,98.92086330935251
"m_132: (v(i=0, t=0)==v(i=0, t=22),	v(i=0, t=0)==v(i=1, t=1))",550,6,318,688,98.92086330935251
"m_92: (v(i=0, t=82)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",183,2,666,651,98.91891891891892
"m_192: (v(i=0, t=0)==v(i=0, t=82),	v(i=0, t=0)==v(i=1, t=1))",183,2,666,651,98.91891891891892
"m_33: (v(i=0, t=23)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",542,6,326,687,98.90510948905109
"m_133: (v(i=0, t=0)==v(i=0, t=23),	v(i=0, t=0)==v(i=1, t=1))",542,6,326,687,98.90510948905109
"m_34: (v(i=0, t=24)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",534,6,334,686,98.88888888888889
"m_134: (v(i=0, t=0)==v(i=0, t=24),	v(i=0, t=0)==v(i=1, t=1))",534,6,334,686,98.88888888888889
"m_94: (v(i=0, t=84)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",177,2,670,651,98.88268156424581
"m_194: (v(i=0, t=0)==v(i=0, t=84),	v(i=0, t=0)==v(i=1, t=1))",177,2,670,651,98.88268156424581
"m_35: (v(i=0, t=25)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",526,6,342,685,98.87218045112782
"m_135: (v(i=0, t=0)==v(i=0, t=25),	v(i=0, t=0)==v(i=1, t=1))",526,6,342,685,98.87218045112782
"m_95: (v(i=0, t=85)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",174,2,672,651,98.86363636363636
"m_195: (v(i=0, t=0)==v(i=0, t=85),	v(i=0, t=0)==v(i=1, t=1))",174,2,672,651,98.86363636363636
"m_36: (v(i=0, t=26)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",518,6,350,684,98.85496183206108
"m_136: (v(i=0, t=0)==v(i=0, t=26),	v(i=0, t=0)==v(i=1, t=1))",518,6,350,684,98.85496183206108
"m_37: (v(i=0, t=27)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",510,6,358,683,98.83720930232558
"m_137: (v(i=0, t=0)==v(i=0, t=27),	v(i=0, t=0)==v(i=1, t=1))",510,6,358,683,98.83720930232558
"m_48: (v(i=0, t=38)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",423,5,445,673,98.83177570093457
"m_148: (v(i=0, t=0)==v(i=0, t=38),	v(i=0, t=0)==v(i=1, t=1))",423,5,445,673,98.83177570093457
"m_38: (v(i=0, t=28)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",502,6,366,682,98.81889763779527
"m_138: (v(i=0, t=0)==v(i=0, t=28),	v(i=0, t=0)==v(i=1, t=1))",502,6,366,682,98.81889763779527
