Original Statement,tp,tn,fp,fn,score
"m_49: (v(i=0, t=39)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",416,5,452,672,98.812351543943
"m_149: (v(i=0, t=0)==v(i=0, t=39),	v(i=0, t=0)==v(i=1, t=1))",416,5,452,672,98.812351543943
"m_28: (v(i=0, t=18)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",581,7,287,691,98.80952380952381
"m_128: (v(i=0, t=0)==v(i=0, t=18),	v(i=0, t=0)==v(i=1, t=1))",581,7,287,691,98.80952380952381
"m_39: (v(i=0, t=29)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",494,6,374,681,98.8
"m_139: (v(i=0, t=0)==v(i=0, t=29),	v(i=0, t=0)==v(i=1, t=1))",494,6,374,681,98.8
"m_29: (v(i=0, t=19)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",573,7,295,690,98.79310344827587
"m_129: (v(i=0, t=0)==v(i=0, t=19),	v(i=0, t=0)==v(i=1, t=1))",573,7,295,690,98.79310344827587
"m_50: (v(i=0, t=40)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",409,5,459,671,98.79227053140096
"m_150: (v(i=0, t=0)==v(i=0, t=40),	v(i=0, t=0)==v(i=1, t=1))",409,5,459,671,98.79227053140096
"m_99: (v(i=0, t=89)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",163,2,679,651,98.7878787878788
"m_199: (v(i=0, t=0)==v(i=0, t=89),	v(i=0, t=0)==v(i=1, t=1))",163,2,679,651,98.7878787878788
"m_40: (v(i=0, t=30)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",486,6,382,680,98.78048780487805
"m_140: (v(i=0, t=0)==v(i=0, t=30),	v(i=0, t=0)==v(i=1, t=1))",486,6,382,680,98.78048780487805
"m_51: (v(i=0, t=41)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",402,5,466,670,98.77149877149877
"m_151: (v(i=0, t=0)==v(i=0, t=41),	v(i=0, t=0)==v(i=1, t=1))",402,5,466,670,98.77149877149877
"m_100: (v(i=0, t=90)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",160,2,681,651,98.76543209876543
"m_200: (v(i=0, t=0)==v(i=0, t=90),	v(i=0, t=0)==v(i=1, t=1))",160,2,681,651,98.76543209876543
"m_41: (v(i=0, t=31)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",478,6,390,679,98.7603305785124
"m_141: (v(i=0, t=0)==v(i=0, t=31),	v(i=0, t=0)==v(i=1, t=1))",478,6,390,679,98.7603305785124
"m_52: (v(i=0, t=42)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",395,5,473,669,98.75
"m_152: (v(i=0, t=0)==v(i=0, t=42),	v(i=0, t=0)==v(i=1, t=1))",395,5,473,669,98.75
"m_42: (v(i=0, t=32)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",470,6,398,678,98.73949579831933
"m_142: (v(i=0, t=0)==v(i=0, t=32),	v(i=0, t=0)==v(i=1, t=1))",470,6,398,678,98.73949579831933
"m_101: (v(i=0, t=91)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",156,2,684,651,98.73417721518987
"m_201: (v(i=0, t=0)==v(i=0, t=91),	v(i=0, t=0)==v(i=1, t=1))",156,2,684,651,98.73417721518987
"m_53: (v(i=0, t=43)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",388,5,480,668,98.72773536895674
"m_153: (v(i=0, t=0)==v(i=0, t=43),	v(i=0, t=0)==v(i=1, t=1))",388,5,480,668,98.72773536895674
"m_43: (v(i=0, t=33)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",462,6,406,677,98.71794871794873
"m_143: (v(i=0, t=0)==v(i=0, t=33),	v(i=0, t=0)==v(i=1, t=1))",462,6,406,677,98.71794871794873
"m_102: (v(i=0, t=92)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",153,2,686,651,98.70967741935483
"m_202: (v(i=0, t=0)==v(i=0, t=92),	v(i=0, t=0)==v(i=1, t=1))",153,2,686,651,98.70967741935483
"m_54: (v(i=0, t=44)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",381,5,487,667,98.70466321243524
"m_154: (v(i=0, t=0)==v(i=0, t=44),	v(i=0, t=0)==v(i=1, t=1))",381,5,487,667,98.70466321243524
"m_44: (v(i=0, t=34)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",454,6,414,676,98.69565217391305
"m_144: (v(i=0, t=0)==v(i=0, t=34),	v(i=0, t=0)==v(i=1, t=1))",454,6,414,676,98.69565217391305
"m_103: (v(i=0, t=93)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",150,2,688,651,98.68421052631578
"m_203: (v(i=0, t=0)==v(i=0, t=93),	v(i=0, t=0)==v(i=1, t=1))",150,2,688,651,98.68421052631578
"m_55: (v(i=0, t=45)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",374,5,494,666,98.68073878627969
"m_155: (v(i=0, t=0)==v(i=0, t=45),	v(i=0, t=0)==v(i=1, t=1))",374,5,494,666,98.68073878627969
"m_45: (v(i=0, t=35)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",446,6,422,675,98.67256637168141
"m_145: (v(i=0, t=0)==v(i=0, t=35),	v(i=0, t=0)==v(i=1, t=1))",446,6,422,675,98.67256637168141
"m_104: (v(i=0, t=94)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",147,2,690,651,98.65771812080537
"m_204: (v(i=0, t=0)==v(i=0, t=94),	v(i=0, t=0)==v(i=1, t=1))",147,2,690,651,98.65771812080537
"m_56: (v(i=0, t=46)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",367,5,501,665,98.65591397849462
"m_156: (v(i=0, t=0)==v(i=0, t=46),	v(i=0, t=0)==v(i=1, t=1))",367,5,501,665,98.65591397849462
"m_46: (v(i=0, t=36)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",438,6,430,674,98.64864864864865
"m_146: (v(i=0, t=0)==v(i=0, t=36),	v(i=0, t=0)==v(i=1, t=1))",438,6,430,674,98.64864864864865
"m_57: (v(i=0, t=47)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",361,5,507,664,98.63387978142076
"m_157: (v(i=0, t=0)==v(i=0, t=47),	v(i=0, t=0)==v(i=1, t=1))",361,5,507,664,98.63387978142076
"m_105: (v(i=0, t=95)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",144,2,692,651,98.63013698630137
"m_205: (v(i=0, t=0)==v(i=0, t=95),	v(i=0, t=0)==v(i=1, t=1))",144,2,692,651,98.63013698630137
"m_47: (v(i=0, t=37)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",430,6,438,673,98.62385321100918
"m_147: (v(i=0, t=0)==v(i=0, t=37),	v(i=0, t=0)==v(i=1, t=1))",430,6,438,673,98.62385321100918
"m_12: (v(i=0, t=2)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",715,10,153,704,98.62068965517241
"m_112: (v(i=0, t=0)==v(i=0, t=2),	v(i=0, t=0)==v(i=1, t=1))",715,10,153,704,98.62068965517241
"m_58: (v(i=0, t=48)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",355,5,513,663,98.61111111111111
"m_158: (v(i=0, t=0)==v(i=0, t=48),	v(i=0, t=0)==v(i=1, t=1))",355,5,513,663,98.61111111111111
"m_106: (v(i=0, t=96)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",141,2,694,651,98.6013986013986
"m_206: (v(i=0, t=0)==v(i=0, t=96),	v(i=0, t=0)==v(i=1, t=1))",141,2,694,651,98.6013986013986
"m_84: (v(i=0, t=74)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",211,3,646,650,98.5981308411215
"m_184: (v(i=0, t=0)==v(i=0, t=74),	v(i=0, t=0)==v(i=1, t=1))",211,3,646,650,98.5981308411215
"m_59: (v(i=0, t=49)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",349,5,519,662,98.58757062146893
"m_159: (v(i=0, t=0)==v(i=0, t=49),	v(i=0, t=0)==v(i=1, t=1))",349,5,519,662,98.58757062146893
"m_107: (v(i=0, t=97)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",138,2,696,651,98.57142857142858
"m_207: (v(i=0, t=0)==v(i=0, t=97),	v(i=0, t=0)==v(i=1, t=1))",138,2,696,651,98.57142857142858
"m_60: (v(i=0, t=50)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",343,5,525,661,98.5632183908046
"m_160: (v(i=0, t=0)==v(i=0, t=50),	v(i=0, t=0)==v(i=1, t=1))",343,5,525,661,98.5632183908046
"m_108: (v(i=0, t=98)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",135,2,698,651,98.54014598540147
"m_208: (v(i=0, t=0)==v(i=0, t=98),	v(i=0, t=0)==v(i=1, t=1))",135,2,698,651,98.54014598540147
"m_61: (v(i=0, t=51)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",337,5,531,660,98.53801169590643
"m_161: (v(i=0, t=0)==v(i=0, t=51),	v(i=0, t=0)==v(i=1, t=1))",337,5,531,660,98.53801169590643
"m_109: (v(i=0, t=99)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",132,2,700,651,98.50746268656717
"m_209: (v(i=0, t=0)==v(i=0, t=99),	v(i=0, t=0)==v(i=1, t=1))",132,2,700,651,98.50746268656717
"m_76: (v(i=0, t=66)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",250,4,615,649,98.4251968503937
"m_176: (v(i=0, t=0)==v(i=0, t=66),	v(i=0, t=0)==v(i=1, t=1))",250,4,615,649,98.4251968503937
"m_77: (v(i=0, t=67)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",245,4,619,649,98.39357429718876
"m_177: (v(i=0, t=0)==v(i=0, t=67),	v(i=0, t=0)==v(i=1, t=1))",245,4,619,649,98.39357429718876
"m_67: (v(i=0, t=57)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",301,5,567,654,98.36601307189542
"m_167: (v(i=0, t=0)==v(i=0, t=57),	v(i=0, t=0)==v(i=1, t=1))",301,5,567,654,98.36601307189542
"m_78: (v(i=0, t=68)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",240,4,623,649,98.36065573770492
"m_93: (v(i=0, t=83)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",180,3,668,650,98.36065573770492
"m_178: (v(i=0, t=0)==v(i=0, t=68),	v(i=0, t=0)==v(i=1, t=1))",240,4,623,649,98.36065573770492
"m_193: (v(i=0, t=0)==v(i=0, t=83),	v(i=0, t=0)==v(i=1, t=1))",180,3,668,650,98.36065573770492
"m_68: (v(i=0, t=58)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",296,5,572,653,98.33887043189368
"m_168: (v(i=0, t=0)==v(i=0, t=58),	v(i=0, t=0)==v(i=1, t=1))",296,5,572,653,98.33887043189368
"m_79: (v(i=0, t=69)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",235,4,627,649,98.32635983263597
"m_179: (v(i=0, t=0)==v(i=0, t=69),	v(i=0, t=0)==v(i=1, t=1))",235,4,627,649,98.32635983263597
"m_80: (v(i=0, t=70)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",230,4,631,649,98.29059829059828
"m_180: (v(i=0, t=0)==v(i=0, t=70),	v(i=0, t=0)==v(i=1, t=1))",230,4,631,649,98.29059829059828
"m_96: (v(i=0, t=86)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",171,3,674,650,98.27586206896551
"m_196: (v(i=0, t=0)==v(i=0, t=86),	v(i=0, t=0)==v(i=1, t=1))",171,3,674,650,98.27586206896551
"m_81: (v(i=0, t=71)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",225,4,635,649,98.2532751091703
"m_181: (v(i=0, t=0)==v(i=0, t=71),	v(i=0, t=0)==v(i=1, t=1))",225,4,635,649,98.2532751091703
"m_97: (v(i=0, t=87)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",168,3,676,650,98.24561403508771
"m_197: (v(i=0, t=0)==v(i=0, t=87),	v(i=0, t=0)==v(i=1, t=1))",168,3,676,650,98.24561403508771
"m_71: (v(i=0, t=61)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",278,5,590,650,98.23321554770318
"m_171: (v(i=0, t=0)==v(i=0, t=61),	v(i=0, t=0)==v(i=1, t=1))",278,5,590,650,98.23321554770318
"m_82: (v(i=0, t=72)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",220,4,639,649,98.21428571428571
"m_98: (v(i=0, t=88)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",165,3,678,650,98.21428571428571
"m_182: (v(i=0, t=0)==v(i=0, t=72),	v(i=0, t=0)==v(i=1, t=1))",220,4,639,649,98.21428571428571
"m_198: (v(i=0, t=0)==v(i=0, t=88),	v(i=0, t=0)==v(i=1, t=1))",165,3,678,650,98.21428571428571
"m_63: (v(i=0, t=53)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",325,6,543,657,98.18731117824774
"m_163: (v(i=0, t=0)==v(i=0, t=53),	v(i=0, t=0)==v(i=1, t=1))",325,6,543,657,98.18731117824774
"m_83: (v(i=0, t=73)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",215,4,643,649,98.17351598173516
"m_183: (v(i=0, t=0)==v(i=0, t=73),	v(i=0, t=0)==v(i=1, t=1))",215,4,643,649,98.17351598173516
"m_73: (v(i=0, t=63)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",266,5,602,648,98.1549815498155
"m_173: (v(i=0, t=0)==v(i=0, t=63),	v(i=0, t=0)==v(i=1, t=1))",266,5,602,648,98.1549815498155
"m_64: (v(i=0, t=54)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",319,6,549,656,98.15384615384616
"m_164: (v(i=0, t=0)==v(i=0, t=54),	v(i=0, t=0)==v(i=1, t=1))",319,6,549,656,98.15384615384616
"m_65: (v(i=0, t=55)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",314,6,554,655,98.125
"m_165: (v(i=0, t=0)==v(i=0, t=55),	v(i=0, t=0)==v(i=1, t=1))",314,6,554,655,98.125
"m_74: (v(i=0, t=64)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",260,5,607,648,98.11320754716981
"m_174: (v(i=0, t=0)==v(i=0, t=64),	v(i=0, t=0)==v(i=1, t=1))",260,5,607,648,98.11320754716981
"m_11: (v(i=0, t=1)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",724,14,144,701,98.1029810298103
"m_111: (v(i=0, t=0)==v(i=0, t=1),	v(i=0, t=0)==v(i=1, t=1))",724,14,144,701,98.1029810298103
"m_66: (v(i=0, t=56)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",307,6,561,654,98.08306709265176
"m_166: (v(i=0, t=0)==v(i=0, t=56),	v(i=0, t=0)==v(i=1, t=1))",307,6,561,654,98.08306709265176
"m_75: (v(i=0, t=65)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",255,5,611,648,98.07692307692307
"m_175: (v(i=0, t=0)==v(i=0, t=65),	v(i=0, t=0)==v(i=1, t=1))",255,5,611,648,98.07692307692307
"m_69: (v(i=0, t=59)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",289,6,579,651,97.96610169491525
"m_169: (v(i=0, t=0)==v(i=0, t=59),	v(i=0, t=0)==v(i=1, t=1))",289,6,579,651,97.96610169491525
"m_62: (v(i=0, t=52)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",331,7,537,657,97.92899408284023
"m_162: (v(i=0, t=0)==v(i=0, t=52),	v(i=0, t=0)==v(i=1, t=1))",331,7,537,657,97.92899408284023
"m_70: (v(i=0, t=60)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",283,6,585,650,97.92387543252595
"m_170: (v(i=0, t=0)==v(i=0, t=60),	v(i=0, t=0)==v(i=1, t=1))",283,6,585,650,97.92387543252595
"m_72: (v(i=0, t=62)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",272,6,596,648,97.84172661870504
"m_172: (v(i=0, t=0)==v(i=0, t=62),	v(i=0, t=0)==v(i=1, t=1))",272,6,596,648,97.84172661870504
"m_27: (v(i=0, t=17)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",589,23,279,676,96.24183006535948
"m_127: (v(i=0, t=0)==v(i=0, t=17),	v(i=0, t=0)==v(i=1, t=1))",589,23,279,676,96.24183006535948
"m_10: (v(i=1, t=0)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",736,65,132,650,91.88514357053683
"m_110: (v(i=0, t=0)==v(i=1, t=0),	v(i=0, t=0)==v(i=1, t=1))",736,65,132,650,91.88514357053683
"m_6: (v(i=0, t=0)==v(i=0, t=0),	v(i=0, t=0)>=v(i=1, t=1))",1272,311,0,0,80.35375868603917
"m_5: (v(i=0, t=0)==v(i=0, t=0),	v(i=0, t=0)<=v(i=1, t=1))",1179,404,0,0,74.47883765003158
"m_313: (v(i=0, t=0)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=3))",879,702,0,0,55.597722960151806
"m_0: (v(i=0, t=0)<=v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",868,715,0,0,54.83259633607075
"m_1: (v(i=0, t=0)>=v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=1))",868,715,0,0,54.83259633607075
"m_212: (v(i=0, t=0)==v(i=0, t=0),	v(i=0, t=2)==v(i=1, t=1))",833,749,0,0,52.654867256637175
"m_213: (v(i=0, t=0)==v(i=0, t=0),	v(i=0, t=3)==v(i=1, t=1))",821,760,0,0,51.929158760278305
"m_210: (v(i=0, t=0)==v(i=0, t=0),	v(i=1, t=0)==v(i=1, t=1))",822,761,0,0,51.92672141503475
"m_315: (v(i=0, t=0)==v(i=0, t=0),	v(i=0, t=0)==v(i=1, t=5))",806,773,0,0,51.04496516782774
"m_211: (v(i=0, t=0)==v(i=0, t=0),	v(i=0, t=1)==v(i=1, t=1))",801,782,0,0,50.600126342387874
