Original Statement,tp,tn,fp,fn,score
"m_157: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=47)<c(i=0, t=None))",860,185,282,201,82.29665071770334
"m_79: (v(i=0, t=69)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",835,181,258,232,82.18503937007874
"m_131: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=21)<c(i=0, t=None))",867,188,279,220,82.18009478672987
"m_93: (v(i=0, t=83)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",828,180,255,229,82.14285714285714
"m_110: (v(i=0, t=0)<c(i=0, t=None),	v(i=0, t=10)<c(i=0, t=None))",861,194,184,326,81.61137440758294
"m_94: (v(i=0, t=84)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",821,186,262,222,81.52929493545183
"m_158: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=48)<c(i=0, t=None))",851,193,291,192,81.51340996168582
"m_78: (v(i=0, t=68)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",828,188,266,225,81.49606299212599
"m_130: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=20)<c(i=0, t=None))",858,197,288,212,81.32701421800948
"m_159: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=49)<c(i=0, t=None))",845,198,297,186,81.01629913710451
"m_95: (v(i=0, t=85)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",814,192,269,215,80.9145129224652
"m_77: (v(i=0, t=67)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",822,194,273,219,80.90551181102363
"m_129: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=19)<c(i=0, t=None))",850,205,296,205,80.56872037914692
"m_160: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=50)<c(i=0, t=None))",837,205,305,178,80.32629558541267
"m_76: (v(i=0, t=66)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",816,200,280,213,80.31496062992126
"m_96: (v(i=0, t=86)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",807,198,276,208,80.29850746268656
"m_10: (v(i=1, t=0)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",919,232,232,182,79.84361424847958
"m_161: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=51)<c(i=0, t=None))",830,211,312,171,79.731027857829
"m_75: (v(i=0, t=65)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",809,207,288,206,79.6259842519685
"m_128: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=18)<c(i=0, t=None))",839,216,307,195,79.5260663507109
"m_97: (v(i=0, t=87)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",798,206,285,199,79.4820717131474
"m_162: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=52)<c(i=0, t=None))",826,214,316,167,79.42307692307692
"m_74: (v(i=0, t=64)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",804,212,294,201,79.13385826771653
"m_163: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=53)<c(i=0, t=None))",820,219,321,162,78.92204042348412
"m_98: (v(i=0, t=88)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",790,213,293,191,78.76370887337985
"m_73: (v(i=0, t=63)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",800,216,299,197,78.74015748031496
"m_127: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=17)<c(i=0, t=None))",828,227,318,185,78.48341232227489
"m_164: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=54)<c(i=0, t=None))",813,225,327,156,78.32369942196532
